Participant ID;Time;Completed;Help;Disorder;Error;Age;Gender;Background;ARexperience;ARexperience-cat;ARExperience-Rarely;ARExperience-Sometimes;ARExperience-Moderately;ARExperience-Regularly;ARExperience-VeryRegularly;MachineryExp;Si Yes, quelle .. ;MachineryExp-cat;MachineryExp-VeryLittle;MachineryExp-Little;MachineryExp-ModeratelyFamiliar;MachineryExp-Familiar;MachineryExp-VeryFamiliar;TrainingDone;Utility;Utility-Useless;Utility-ScarcelyUseful;Utility-ModeratelyUseful;Utility-AlmostUseful;Utility-Useful;ReprodAlone;ReprodAlone-Unable;ReprodeAlone-BarelyAble;ReprodeAlone-ModeratelyAble;ReprodeAlone-AlmostAble;ReprodeAlone-CompletelyAble;Clairity;Clarity-NotAtAll;Clarity-NotMuch;Clarity-Understandable;Clarity-VeryClear;Clarity-Limpid;ExplicaNeed;ExplicaNeed-Never;ExplicaNeed-Rarely;ExplicaNeed-Sometimes;ExplicaNeed-Often;ExplicaNeed-Always;ReplicationDone;UtilityAfterReprod;UtilityAfterReprod-Useless;UtilityAfterReprod-ScarcelyUseful;UtilityAfterReprod-ModeratelyUseful;UtilityAfterReprod-AlmostUseful;UtilityAfterReprod-Useful;Sufficient;Sufficient-NotAtAll;Sufficient-VeryLittle;Sufficient-MoreOrLess;Sufficient-Rather;Sufficient-Totally;SelfPerformance;SelfPerformance-Bad;SelfPerformance-Poor;SelfPerformance-Average;SelfPerformance-Good;SelfPerformance-Excellent
C1;269;yes;1;1;1;35;Female;Chemical engineering;Yes;Rarely;Yes;No;No;No;No;Yes;3D printer;Moderately familiar;No;No;Yes;No;No;Yes;Moderately useful;No;No;Yes;No;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Moderately useful;No;No;Yes;No;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C2;163;yes;0;2;1;53;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Barely able;No;Yes;No;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C3;161;yes;1;0;2;24;Female;Innovation management engineering;Yes;Rarely;Yes;No;No;No;No;Yes;;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Sometimes;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C4;173;yes;0;2;0;20;Male;Cognitives science;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Never;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C5;344;yes;2;2;2;22;Female;Mathematic and computer science;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Moderately useful;No;No;Yes;No;No;Barely able;No;Yes;No;No;No;Underestandable;No;No;Yes;No;No;Never;Yes;No;No;No;No;Yes;Scarcely useful;No;Yes;No;No;No;Not at all;Yes;No;No;No;No;Bad;Yes;No;No;No;No
C6;256;yes;0;2;1;27;Male;Project management, computer science;Yes;Rarely;Yes;No;No;No;No;Yes;;Very Little;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Barely able;No;Yes;No;No;No;Underestandable;No;No;Yes;No;No;Sometimes;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C7;235;yes;2;2;0;19;Male;Engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C8;218;yes;1;2;2;19;Male;GSI;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C9;455;yes;2;0;2;20;Male;Engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C10;263;yes;1;4;1;20;Male;Engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C11;262;yes;0;3;0;21;Male;Marketing;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Barely able;No;Yes;No;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Very little;No;Yes;No;No;No;Average;No;No;Yes;No;No
C12;277;yes;2;2;2;19;Female;Engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C13;220;yes;0;1;1;23;Female;Architecture & urbanisme;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Sometimes;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C14;227;yes;1;2;0;29;Female;Design;Yes;Rarely;Yes;No;No;No;No;Yes;Découpe Laser;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C15;222;yes;0;1;1;21;Female;design;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;découpe laser trotec;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C16;199;yes;0;0;3;21;Female;Design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C17;243;yes;0;1;2;24;Female;Design master;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Often;No;No;No;Yes;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C18;266;yes;0;1;2;22;Female;product design;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
